,nppes_provider_city,drug_name,total_claim
80,GERMANTOWN,TRAMADOL HCL,6336.0
81,COOKEVILLE,OXYCODONE HCL,6264.0
82,HERMITAGE,OXYCODONE-ACETAMINOPHEN,6233.0
83,NASHVILLE,FENTANYL,6119.0
84,SEVIERVILLE,HYDROCODONE-ACETAMINOPHEN,5978.0
85,NEWPORT,HYDROCODONE-ACETAMINOPHEN,5857.0
86,JOHNSON CITY,MORPHINE SULFATE ER,5648.0
87,GREENEVILLE,TRAMADOL HCL,5639.0
88,ALCOA,HYDROCODONE-ACETAMINOPHEN,5583.0
89,MARTIN,HYDROCODONE-ACETAMINOPHEN,5519.0
90,MURFREESBORO,OXYCODONE HCL,5511.0
91,HENDERSONVILLE,OXYCODONE HCL,5462.0
92,CROSSVILLE,OXYCODONE-ACETAMINOPHEN,5340.0
93,CORDOVA,OXYCODONE-ACETAMINOPHEN,5280.0
94,ANTIOCH,MORPHINE SULFATE ER,5246.0
95,HENDERSON,HYDROCODONE-ACETAMINOPHEN,5238.0
96,SMITHVILLE,HYDROCODONE-ACETAMINOPHEN,5215.0
97,SMYRNA,HYDROCODONE-ACETAMINOPHEN,5173.0
98,MANCHESTER,OXYCODONE-ACETAMINOPHEN,5115.0
99,BRISTOL,TRAMADOL HCL,5081.0
100,HARROGATE,HYDROCODONE-ACETAMINOPHEN,5077.0
101,ELIZABETHTON,HYDROCODONE-ACETAMINOPHEN,5065.0
102,BOLIVAR,HYDROCODONE-ACETAMINOPHEN,5029.0
103,TAZEWELL,HYDROCODONE-ACETAMINOPHEN,5029.0
104,SAVANNAH,HYDROCODONE-ACETAMINOPHEN,5024.0
105,FRANKLIN,OXYCODONE-ACETAMINOPHEN,5023.0
106,SPRINGFIELD,HYDROCODONE-ACETAMINOPHEN,4989.0
107,GERMANTOWN,OXYCODONE-ACETAMINOPHEN,4988.0
108,MORRISTOWN,TRAMADOL HCL,4988.0
109,POWELL,HYDROCODONE-ACETAMINOPHEN,4964.0
110,MURFREESBORO,TRAMADOL HCL,4906.0
111,COOKEVILLE,TRAMADOL HCL,4831.0
112,ROGERSVILLE,HYDROCODONE-ACETAMINOPHEN,4826.0
113,BRENTWOOD,OXYCODONE-ACETAMINOPHEN,4824.0
114,CORDOVA,OXYCODONE HCL,4820.0
115,KNOXVILLE,FENTANYL,4811.0
116,CAMDEN,HYDROCODONE-ACETAMINOPHEN,4784.0
117,TULLAHOMA,OXYCODONE-ACETAMINOPHEN,4721.0
118,NEW TAZEWELL,HYDROCODONE-ACETAMINOPHEN,4700.0
119,HARRIMAN,HYDROCODONE-ACETAMINOPHEN,4664.0
120,MEMPHIS,ACETAMINOPHEN-CODEINE,4661.0
121,KNOXVILLE,OXYMORPHONE HCL ER,4606.0
122,WINCHESTER,HYDROCODONE-ACETAMINOPHEN,4567.0
123,GALLATIN,OXYCODONE-ACETAMINOPHEN,4514.0
124,CLEVELAND,TRAMADOL HCL,4490.0
125,KNOXVILLE,OPANA ER,4483.0
126,COLUMBIA,OXYCODONE HCL,4381.0
127,MCMINNVILLE,HYDROCODONE-ACETAMINOPHEN,4320.0
128,COLUMBIA,TRAMADOL HCL,4292.0
129,MANCHESTER,OXYCODONE HCL,4285.0
130,DAYTON,HYDROCODONE-ACETAMINOPHEN,4142.0
131,KNOXVILLE,OXYCONTIN,4131.0
132,DICKSON,OXYCODONE-ACETAMINOPHEN,4114.0
133,SHELBYVILLE,HYDROCODONE-ACETAMINOPHEN,4061.0
134,DANDRIDGE,HYDROCODONE-ACETAMINOPHEN,4039.0
135,KINGSTON,HYDROCODONE-ACETAMINOPHEN,3953.0
136,JACKSON,OXYCODONE HCL,3927.0
137,HIXSON,TRAMADOL HCL,3851.0
138,PULASKI,HYDROCODONE-ACETAMINOPHEN,3770.0
139,CHATTANOOGA,FENTANYL,3689.0
140,CROSSVILLE,OXYCODONE HCL,3680.0
141,MEMPHIS,FENTANYL,3655.0
142,MORRISTOWN,OXYCODONE HCL,3639.0
143,HENDERSONVILLE,TRAMADOL HCL,3638.0
144,HUNTINGDON,HYDROCODONE-ACETAMINOPHEN,3631.0
145,PARIS,OXYCODONE-ACETAMINOPHEN,3622.0
146,SOMERVILLE,HYDROCODONE-ACETAMINOPHEN,3558.0
147,MURFREESBORO,MORPHINE SULFATE ER,3531.0
148,NASHVILLE,OXYCONTIN,3521.0
149,HENDERSONVILLE,MORPHINE SULFATE ER,3509.0
150,GREENEVILLE,OXYCODONE-ACETAMINOPHEN,3502.0
151,MEMPHIS,MORPHINE SULFATE ER,3492.0
152,DYERSBURG,OXYCODONE-ACETAMINOPHEN,3489.0
153,CROSSVILLE,TRAMADOL HCL,3451.0
154,HERMITAGE,TRAMADOL HCL,3373.0
155,FAYETTEVILLE,HYDROCODONE-ACETAMINOPHEN,3368.0
156,COLLIERVILLE,HYDROCODONE-ACETAMINOPHEN,3324.0
157,LENOIR CITY,HYDROCODONE-ACETAMINOPHEN,3322.0
158,LA FOLLETTE,OXYCODONE HCL,3315.0
159,LEWISBURG,HYDROCODONE-ACETAMINOPHEN,3290.0
160,FRANKLIN,TRAMADOL HCL,3290.0
161,JACKSON,MORPHINE SULFATE ER,3289.0
162,ALCOA,TRAMADOL HCL,3282.0
163,LA FOLLETTE,HYDROCODONE-ACETAMINOPHEN,3282.0
164,ONEIDA,OXYCODONE-ACETAMINOPHEN,3243.0
165,CLARKSVILLE,MORPHINE SULFATE ER,3225.0
166,CLARKSVILLE,TRAMADOL HCL,3222.0
167,MC MINNVILLE,HYDROCODONE-ACETAMINOPHEN,3176.0
168,MOUNTAIN CITY,HYDROCODONE-ACETAMINOPHEN,3171.0
169,UNION CITY,OXYCODONE-ACETAMINOPHEN,3169.0
170,HERMITAGE,OXYCODONE HCL,3153.0
171,COLUMBIA,MORPHINE SULFATE ER,3151.0
172,COVINGTON,HYDROCODONE-ACETAMINOPHEN,3145.0
173,WAYNESBORO,HYDROCODONE-ACETAMINOPHEN,3116.0
174,HUMBOLDT,HYDROCODONE-ACETAMINOPHEN,3111.0
175,ERWIN,HYDROCODONE-ACETAMINOPHEN,3101.0
176,COOKEVILLE,MORPHINE SULFATE ER,3073.0
177,HIXSON,OXYCODONE-ACETAMINOPHEN,3065.0
178,DICKSON,TRAMADOL HCL,2997.0
179,SELMER,HYDROCODONE-ACETAMINOPHEN,2979.0
180,GREENEVILLE,OXYCODONE HCL,2979.0
181,MILLINGTON,HYDROCODONE-ACETAMINOPHEN,2978.0
182,ATHENS,OXYCODONE-ACETAMINOPHEN,2964.0
183,JAMESTOWN,OXYCODONE-ACETAMINOPHEN,2954.0
184,SEYMOUR,HYDROCODONE-ACETAMINOPHEN,2952.0
185,RIPLEY,HYDROCODONE-ACETAMINOPHEN,2936.0
186,UNION CITY,OXYCODONE HCL,2926.0
187,LEBANON,TRAMADOL HCL,2918.0
188,CORDOVA,TRAMADOL HCL,2829.0
189,JOHNSON CITY,FENTANYL,2759.0
190,JACKSBORO,HYDROCODONE-ACETAMINOPHEN,2752.0
191,LEBANON,OXYCODONE HCL,2748.0
192,KINGSPORT,MORPHINE SULFATE ER,2745.0
193,BARTLETT,TRAMADOL HCL,2742.0
194,ETOWAH,HYDROCODONE-ACETAMINOPHEN,2732.0
195,JAMESTOWN,OXYCODONE HCL,2729.0
196,CHURCH HILL,HYDROCODONE-ACETAMINOPHEN,2728.0
197,EAST RIDGE,HYDROCODONE-ACETAMINOPHEN,2722.0
198,BARTLETT,OXYCODONE-ACETAMINOPHEN,2691.0
199,ADAMSVILLE,HYDROCODONE-ACETAMINOPHEN,2675.0
200,KNOXVILLE,ACETAMINOPHEN-CODEINE,2646.0
201,OAK RIDGE,TRAMADOL HCL,2637.0
202,JEFFERSON CITY,OXYCODONE HCL,2630.0
203,TRENTON,HYDROCODONE-ACETAMINOPHEN,2628.0
204,SEVIERVILLE,OXYCODONE-ACETAMINOPHEN,2622.0
205,LEXINGTON,HYDROCODONE-ACETAMINOPHEN,2587.0
206,DICKSON,OXYCODONE HCL,2573.0
207,GALLATIN,OXYCODONE HCL,2568.0
208,MILAN,HYDROCODONE-ACETAMINOPHEN,2541.0
209,MADISON,HYDROCODONE-ACETAMINOPHEN,2535.0
210,SAVANNAH,TRAMADOL HCL,2530.0
211,MANCHESTER,MORPHINE SULFATE ER,2523.0
212,HERMITAGE,MORPHINE SULFATE ER,2522.0
213,CHATTANOOGA,OXYCONTIN,2518.0
214,CLEVELAND,MORPHINE SULFATE ER,2507.0
215,LAWRENCEBURG,OXYCODONE-ACETAMINOPHEN,2497.0
216,WINCHESTER,OXYCODONE-ACETAMINOPHEN,2492.0
217,DYERSBURG,TRAMADOL HCL,2482.0
218,POWELL,TRAMADOL HCL,2403.0
219,BRENTWOOD,OXYCODONE HCL,2382.0
220,GALLATIN,TRAMADOL HCL,2361.0
221,PORTLAND,HYDROCODONE-ACETAMINOPHEN,2356.0
222,CORDOVA,MORPHINE SULFATE ER,2338.0
223,MORRISTOWN,MORPHINE SULFATE ER,2329.0
224,BRISTOL,MORPHINE SULFATE ER,2302.0
225,OAK RIDGE,OXYCODONE HCL,2297.0
226,LIVINGSTON,HYDROCODONE-ACETAMINOPHEN,2294.0
227,PARIS,TRAMADOL HCL,2276.0
228,CENTERVILLE,HYDROCODONE-ACETAMINOPHEN,2269.0
229,SPRINGFIELD,OXYCODONE-ACETAMINOPHEN,2245.0
230,MARYVILLE,OXYCODONE-ACETAMINOPHEN,2242.0
231,BROWNSVILLE,HYDROCODONE-ACETAMINOPHEN,2212.0
232,SPRING HILL,HYDROCODONE-ACETAMINOPHEN,2210.0
233,MADISONVILLE,OXYCODONE HCL,2209.0
234,JAMESTOWN,HYDROCODONE-ACETAMINOPHEN,2207.0
235,KNOXVILLE,MORPHINE SULFATE,2199.0
236,SPARTA,HYDROCODONE-ACETAMINOPHEN,2196.0
237,CARTHAGE,HYDROCODONE-ACETAMINOPHEN,2193.0
238,FRANKLIN,OXYCODONE HCL,2181.0
239,WHITE HOUSE,HYDROCODONE-ACETAMINOPHEN,2167.0
240,DRESDEN,HYDROCODONE-ACETAMINOPHEN,2163.0
241,HOHENWALD,HYDROCODONE-ACETAMINOPHEN,2073.0
242,KINGSTON,OXYCODONE-ACETAMINOPHEN,2053.0
243,GOODLETTSVILLE,HYDROCODONE-ACETAMINOPHEN,2036.0
244,HARRIMAN,OXYCODONE HCL,2030.0
245,CROSSVILLE,MORPHINE SULFATE ER,2008.0
246,JEFFERSON CITY,TRAMADOL HCL,1993.0
247,MOUNT JULIET,HYDROCODONE-ACETAMINOPHEN,1992.0
248,CELINA,HYDROCODONE-ACETAMINOPHEN,1982.0
249,PIKEVILLE,HYDROCODONE-ACETAMINOPHEN,1978.0
250,NASHVILLE,ACETAMINOPHEN-CODEINE,1970.0
251,CLINTON,HYDROCODONE-ACETAMINOPHEN,1945.0
252,SMYRNA,TRAMADOL HCL,1935.0
253,MARYVILLE,TRAMADOL HCL,1934.0
254,GALLATIN,MORPHINE SULFATE ER,1922.0
255,OOLTEWAH,HYDROCODONE-ACETAMINOPHEN,1919.0
256,CAMDEN,OXYCODONE-ACETAMINOPHEN,1915.0
257,CLARKSVILLE,OXYMORPHONE HCL ER,1899.0
258,ASHLAND CITY,HYDROCODONE-ACETAMINOPHEN,1896.0
259,SEVIERVILLE,TRAMADOL HCL,1890.0
260,SMYRNA,OXYCODONE-ACETAMINOPHEN,1883.0
261,SEVIERVILLE,OXYCODONE HCL,1881.0
262,LIVINGSTON,OXYCODONE-ACETAMINOPHEN,1881.0
263,HENDERSONVILLE,FENTANYL,1865.0
264,JEFFERSON CITY,OXYCODONE-ACETAMINOPHEN,1864.0
265,PLEASANT VIEW,HYDROCODONE-ACETAMINOPHEN,1816.0
266,CELINA,OXYCODONE-ACETAMINOPHEN,1780.0
267,CHATTANOOGA,HYDROMORPHONE HCL,1778.0
268,KINGSTON,OXYCODONE HCL,1765.0
269,ELIZABETHTON,TRAMADOL HCL,1756.0
270,JASPER,HYDROCODONE-ACETAMINOPHEN,1742.0
271,LEBANON,MORPHINE SULFATE ER,1742.0
272,TULLAHOMA,OXYCODONE HCL,1742.0
273,WARTBURG,OXYCODONE-ACETAMINOPHEN,1741.0
274,BRENTWOOD,MORPHINE SULFATE ER,1722.0
275,CHATTANOOGA,METHADONE HCL,1679.0
276,NASHVILLE,MORPHINE SULFATE,1672.0
277,OOLTEWAH,TRAMADOL HCL,1670.0
278,HARTSVILLE,HYDROCODONE-ACETAMINOPHEN,1660.0
279,ATHENS,OXYCODONE HCL,1654.0
280,FRANKLIN,MORPHINE SULFATE ER,1654.0
281,WARTBURG,OXYCODONE HCL,1625.0
282,DANDRIDGE,TRAMADOL HCL,1625.0
283,MEMPHIS,METHADONE HCL,1621.0
284,TULLAHOMA,TRAMADOL HCL,1616.0
285,HENDERSON,OXYCODONE-ACETAMINOPHEN,1614.0
286,TULLAHOMA,MORPHINE SULFATE ER,1613.0
287,SALE CREEK,HYDROCODONE-ACETAMINOPHEN,1606.0
288,PARIS,MORPHINE SULFATE ER,1604.0
289,LAWRENCEBURG,TRAMADOL HCL,1601.0
290,SPRING CITY,HYDROCODONE-ACETAMINOPHEN,1588.0
291,COOKEVILLE,FENTANYL,1578.0
292,MORRISTOWN,FENTANYL,1575.0
293,UNION CITY,MORPHINE SULFATE ER,1553.0
294,ELIZABETHTON,OXYCODONE-ACETAMINOPHEN,1551.0
295,ATHENS,TRAMADOL HCL,1551.0
296,WARTBURG,HYDROCODONE-ACETAMINOPHEN,1537.0
297,NEWPORT,TRAMADOL HCL,1537.0
298,ALCOA,OXYCODONE-ACETAMINOPHEN,1522.0
299,WINCHESTER,TRAMADOL HCL,1496.0
300,LENOIR CITY,OXYCODONE-ACETAMINOPHEN,1468.0
301,SWEETWATER,TRAMADOL HCL,1460.0
302,HUNTSVILLE,HYDROCODONE-ACETAMINOPHEN,1455.0
303,RAMER,HYDROCODONE-ACETAMINOPHEN,1455.0
304,DICKSON,MORPHINE SULFATE ER,1442.0
305,LAFAYETTE,HYDROCODONE-ACETAMINOPHEN,1442.0
306,COPPERHILL,HYDROCODONE-ACETAMINOPHEN,1434.0
307,DAYTON,OXYCODONE-ACETAMINOPHEN,1432.0
308,HARRIMAN,OXYCODONE-ACETAMINOPHEN,1430.0
309,OAK RIDGE,MORPHINE SULFATE ER,1415.0
310,SPRING CITY,OXYCODONE HCL,1408.0
311,SPRINGFIELD,TRAMADOL HCL,1402.0
312,HENDERSON,TRAMADOL HCL,1394.0
313,MCMINNVILLE,OXYCODONE-ACETAMINOPHEN,1385.0
314,WOODBURY,HYDROCODONE-ACETAMINOPHEN,1377.0
315,UNION CITY,TRAMADOL HCL,1373.0
316,CARTHAGE,OXYCODONE-ACETAMINOPHEN,1371.0
317,TRACY CITY,OXYCODONE-ACETAMINOPHEN,1366.0
318,NASHVILLE,METHADONE HCL,1364.0
319,MADISONVILLE,HYDROCODONE-ACETAMINOPHEN,1353.0
320,SHELBYVILLE,TRAMADOL HCL,1352.0
321,SOMERVILLE,OXYCODONE-ACETAMINOPHEN,1342.0
322,BROWNSVILLE,TRAMADOL HCL,1338.0
323,SPARTA,TRAMADOL HCL,1337.0
324,MURFREESBORO,FENTANYL,1337.0
325,JOHNSON CITY,MORPHINE SULFATE,1334.0
326,NEWPORT,OXYCODONE HCL,1331.0
327,OLIVER SPRINGS,HYDROCODONE-ACETAMINOPHEN,1326.0
328,JELLICO,HYDROCODONE-ACETAMINOPHEN,1322.0
329,PARIS,OXYCODONE HCL,1321.0
330,EAST RIDGE,TRAMADOL HCL,1320.0
331,COLLIERVILLE,TRAMADOL HCL,1318.0
332,MC MINNVILLE,TRAMADOL HCL,1314.0
333,MC KENZIE,OXYCODONE-ACETAMINOPHEN,1312.0
334,LOUDON,HYDROCODONE-ACETAMINOPHEN,1309.0
335,ATOKA,HYDROCODONE-ACETAMINOPHEN,1305.0
336,CORDOVA,METHADONE HCL,1301.0
337,LEXINGTON,TRAMADOL HCL,1284.0
338,ERWIN,TRAMADOL HCL,1283.0
339,LENOIR CITY,TRAMADOL HCL,1281.0
340,SPRINGFIELD,OXYCODONE HCL,1279.0
341,MANCHESTER,TRAMADOL HCL,1279.0
342,ALAMO,HYDROCODONE-ACETAMINOPHEN,1277.0
343,SWEETWATER,OXYCODONE-ACETAMINOPHEN,1273.0
344,SPRING CITY,OXYCODONE-ACETAMINOPHEN,1272.0
345,CHATTANOOGA,ACETAMINOPHEN-CODEINE,1270.0
346,PLEASANT VIEW,OXYCODONE HCL,1269.0
347,BRIGHTON,HYDROCODONE-ACETAMINOPHEN,1264.0
348,ETOWAH,TRAMADOL HCL,1257.0
349,CAMDEN,OXYCODONE HCL,1242.0
350,SEYMOUR,TRAMADOL HCL,1238.0
351,MT PLEASANT,HYDROCODONE-ACETAMINOPHEN,1235.0
352,MILAN,TRAMADOL HCL,1232.0
353,COLLIERVILLE,OXYCODONE-ACETAMINOPHEN,1232.0
354,ANTIOCH,FENTANYL,1226.0
355,JAMESTOWN,MORPHINE SULFATE ER,1222.0
356,ROGERSVILLE,TRAMADOL HCL,1220.0
357,WAVERLY,HYDROCODONE-ACETAMINOPHEN,1218.0
358,MEMPHIS,OXYCONTIN,1213.0
359,GATLINBURG,HYDROCODONE-ACETAMINOPHEN,1211.0
360,GORDONSVILLE,HYDROCODONE-ACETAMINOPHEN,1209.0
361,SELMER,TRAMADOL HCL,1199.0
362,ETOWAH,OXYCODONE-ACETAMINOPHEN,1193.0
363,FAYETTEVILLE,TRAMADOL HCL,1184.0
364,LENOIR CITY,OXYCODONE HCL,1184.0
365,MARTIN,TRAMADOL HCL,1181.0
366,NEWPORT,OXYCODONE-ACETAMINOPHEN,1178.0
367,MOUNT JULIET,OXYCODONE HCL,1176.0
368,CORDOVA,FENTANYL,1174.0
369,HUMBOLDT,TRAMADOL HCL,1173.0
370,HARRIMAN,TRAMADOL HCL,1171.0
371,HENDERSONVILLE,OXYCONTIN,1165.0
372,LEBANON,FENTANYL,1147.0
373,HARROGATE,TRAMADOL HCL,1146.0
374,CLARKSVILLE,FENTANYL,1133.0
375,PIGEON FORGE,HYDROCODONE-ACETAMINOPHEN,1129.0
376,GERMANTOWN,OXYCODONE HCL,1126.0
377,GREENEVILLE,MORPHINE SULFATE ER,1126.0
378,POWELL,OXYCODONE-ACETAMINOPHEN,1115.0
379,DAYTON,TRAMADOL HCL,1114.0
380,LEWISBURG,OXYCODONE-ACETAMINOPHEN,1109.0
381,PARSONS,HYDROCODONE-ACETAMINOPHEN,1105.0
382,MCMINNVILLE,TRAMADOL HCL,1104.0
383,PULASKI,TRAMADOL HCL,1101.0
384,CLINTON,OXYCODONE HCL,1094.0
385,ELIZABETHTON,OXYCODONE HCL,1093.0
386,BEAN STATION,HYDROCODONE-ACETAMINOPHEN,1092.0
387,MEDINA,HYDROCODONE-ACETAMINOPHEN,1089.0
388,LA FOLLETTE,TRAMADOL HCL,1088.0
389,MILLINGTON,TRAMADOL HCL,1087.0
390,MOUNTAIN CITY,TRAMADOL HCL,1086.0
391,SMITHVILLE,OXYCODONE-ACETAMINOPHEN,1083.0
392,JACKSON,FENTANYL,1081.0
393,SAVANNAH,OXYCODONE-ACETAMINOPHEN,1078.0
394,HALLS,HYDROCODONE-ACETAMINOPHEN,1077.0
395,LEWISBURG,TRAMADOL HCL,1074.0
396,CAMDEN,MORPHINE SULFATE ER,1074.0
397,ARLINGTON,HYDROCODONE-ACETAMINOPHEN,1073.0
398,BRENTWOOD,TRAMADOL HCL,1062.0
399,ALCOA,OXYCODONE HCL,1059.0
400,ANTIOCH,OXYCONTIN,1053.0
401,JOHNSON CITY,OXYCONTIN,1042.0
402,MC KENZIE,OXYCODONE HCL,1036.0
403,SOMERVILLE,OXYCODONE HCL,1033.0
404,LAWRENCEBURG,OXYCODONE HCL,1025.0
405,CORRYTON,OXYCODONE HCL,1019.0
406,JACKSON,ACETAMINOPHEN-CODEINE,1014.0
407,BRISTOL,FENTANYL,1014.0
408,MUNFORD,HYDROCODONE-ACETAMINOPHEN,1010.0
409,PULASKI,OXYCODONE-ACETAMINOPHEN,1008.0
410,LA FOLLETTE,OXYMORPHONE HCL ER,1006.0
411,GREENBRIER,HYDROCODONE-ACETAMINOPHEN,1003.0
412,BRISTOL,METHADONE HCL,1001.0
413,LEWISBURG,OXYCODONE HCL,999.0
414,OLD HICKORY,HYDROCODONE-ACETAMINOPHEN,999.0
415,CLARKSVILLE,OXYCONTIN,994.0
416,EAST RIDGE,OXYCODONE-ACETAMINOPHEN,989.0
417,MURFREESBORO,OXYCONTIN,989.0
418,SEWANEE,HYDROCODONE-ACETAMINOPHEN,987.0
419,LEOMA,HYDROCODONE-ACETAMINOPHEN,982.0
420,COLUMBIA,FENTANYL,971.0
421,SMITHVILLE,TRAMADOL HCL,965.0
422,DANDRIDGE,OXYCODONE HCL,963.0
423,CORDOVA,OXYCONTIN,961.0
424,CHARLESTON,HYDROCODONE-ACETAMINOPHEN,958.0
425,ROGERSVILLE,OXYCODONE-ACETAMINOPHEN,956.0
426,VONORE,HYDROCODONE-ACETAMINOPHEN,955.0
427,SHELBYVILLE,OXYCODONE-ACETAMINOPHEN,951.0
428,JOHNSON CITY,OPANA ER,948.0
429,NASHVILLE,HYDROMORPHONE HCL,948.0
430,MARYVILLE,OXYCODONE HCL,943.0
431,DANDRIDGE,OXYCODONE-ACETAMINOPHEN,942.0
432,BYRDSTOWN,HYDROCODONE-ACETAMINOPHEN,937.0
433,MORRISON,HYDROCODONE-ACETAMINOPHEN,923.0
434,PLEASANT VIEW,OXYCODONE-ACETAMINOPHEN,917.0
435,LA FOLLETTE,OXYCODONE-ACETAMINOPHEN,912.0
436,SPRING HILL,OXYCODONE-ACETAMINOPHEN,905.0
437,COLLINWOOD,HYDROCODONE-ACETAMINOPHEN,900.0
438,DAYTON,OXYCODONE HCL,897.0
439,KINGSPORT,FENTANYL,896.0
440,COOKEVILLE,OXYCONTIN,896.0
441,COUNCE,HYDROCODONE-ACETAMINOPHEN,892.0
442,PORTLAND,TRAMADOL HCL,885.0
443,COVINGTON,OXYCODONE-ACETAMINOPHEN,884.0
444,SOUTH PITTSBURG,HYDROCODONE-ACETAMINOPHEN,879.0
445,HUNTINGDON,TRAMADOL HCL,876.0
446,CHURCH HILL,TRAMADOL HCL,871.0
447,GRAY,HYDROCODONE-ACETAMINOPHEN,867.0
